,name,latitude,longitude,address,review,savecount,visitorreviewscore
206,르 사이트,37.5188759,127.0226198,서울 강남구 도산대로11길 22,625,"4,000",4.24
207,바나프레소 강남역점,37.4988669,127.0295523,서울 강남구 테헤란로 113 바나프레소,"1,056",100,4.42
208,플랩잭팬트리 수서점,37.4707852,127.1094304,,178,"1,000",
209,브라운핸즈 도곡점,37.4839525,127.0460932,서울 강남구 논현로26길 48,514,"3,000",4.34
210,젤라떼리아 도도 청담,37.5253599,127.0369897,서울 강남구 언주로164길 41 1층,194,"3,000",4.51
211,브루주아,37.5155321,127.0337229,서울 강남구 논현로132길 40 1층,7,100,
212,마이쏭,37.5233813,127.0357038,서울 강남구 도산대로45길 16-4 1층,302,"7,000",4.17
213,미야갤러리카페,37.5191301,127.0223303,서울 강남구 도산대로11길 25 2F,520,"3,000",
214,마르케,37.5088475,127.0230926,서울 강남구 강남대로124길 5 1층 마르케,682,"3,000",4.55
215,비플레이트 바이 브라운브레드,37.4829314,127.0461557,서울 강남구 논현로24길 41 1층,489,"6,000",4.49
216,테이블스,37.4981277,127.0338015,서울 강남구 논현로85길 52 역삼 푸르지오 시티,668,"2,000",4.43
217,카페드로우지,37.5266531,127.0367456,"서울 강남구 언주로170길 37 4층, 5층 루프탑",480,"5,000",4.91
218,아티제 코엑스몰점,37.5115594,127.0598942,서울 강남구 봉은사로 524 코엑스몰 B1 J101B,"3,593",900,4.37
219,르푸도레,37.5108135,127.0582571,서울 강남구 테헤란로87길 46 오크우드호텔 1층,867,"4,000",4.38
220,더앨리 가로수길점,37.5229113,127.0224289,서울 강남구 가로수길 75,816,"5,000",4.38
221,크림슨젤라또,37.5196705,127.0222912,서울 강남구 도산대로11길 33 화성빌라 1층,111,"1,000",4.47
222,배스킨라빈스 파르나스몰점,37.5095450,127.0608688,"서울 강남구 테헤란로 521 (삼성동) 호텔동 지하1층 R21, 22호","2,417","1,000",4.58
223,막간,37.4940591,127.0361174,서울 강남구 논현로71길 43 1층,102,500,4.88
224,커피휘엘,37.5170173,127.0236569,서울 강남구 논현로149길 62,586,"3,000",4.56
225,카페 시그니처,37.5077119,127.0360248,서울 강남구 봉은사로 218,688,"2,000",4.38
226,베이커리 앤 커피 by 쿤달 압구정로데오 플래그쉽스토어,37.5258838,127.0389781,서울 강남구 도산대로53길 39 1층,521,"3,000",
