,tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude
5954,월세,180,"2,000",50,1/4,남향,37.553748,126.929887
5955,월세,600,1억,101,1/4,서향,37.552741,126.922075
5956,월세,330,"3,000",85,1/6,남향,37.558098,126.922558
5957,월세,210,"5,000",30,1/29,,37.545622,126.948784
5958,월세,200,"1,000",27,B1/3,북서향,37.554346,126.927235
5959,월세,260,"3,000",74,2/4,남서향,37.562836,126.925819
5960,월세,"1,500",2억,96,1/4,북동향,37.553124,126.922167
5961,월세,140,"1,000",25,B3/19,서향,37.553799,126.923701
5962,월세,380,"5,000",85,1/6,북향,37.548896,126.915787
5963,월세,230,"4,000",65,1/5,남동향,37.549383,126.921744
5964,월세,600,"1억 2,000",248,1/8,북향,37.553117,126.9256
5965,월세,630,"1억 5,000",153,1/2,북동향,37.549856,126.911428
5966,월세,130,"3,000",47,1/4,남동향,37.549766,126.922542
5967,월세,121,"1,500",23,1/4,북서향,37.563199,126.926528
5968,월세,425,"3,000",90,1/5,북향,37.557085,126.904379
5969,월세,300,"4,000",67,B1/3,남동향,37.557673,126.921057
5970,월세,250,"3,000",94,2/4,남향,37.546027,126.915947
5971,월세,950,"1억 4,000",312,2/5,북서향,37.556371,126.924529
5972,월세,260,"3,000",74,2/4,동향,37.562836,126.925819
5973,월세,250,"5,000",70,2/22,남동향,37.552182,126.955507
5974,월세,300,"5,000",50,1/4,남서향,37.548703,126.91974
5975,월세,350,1억,118,5/7,남동향,37.552303,126.933525
5976,월세,320,"5,000",181,B1/9,북향,37.547611,126.920785
5977,월세,350,"5,000",91,1/2,동향,37.550056,126.911345
5978,월세,138,"2,000",26,1/5,동향,37.551707,126.906812
5979,월세,600,1억,56,1/5,북서향,37.556983,126.926353
5980,월세,170,"3,000",33,2/4,남서향,37.555189,126.928788
5981,월세,700,"5,000",186,1/5,남향,37.5765,126.895047
5982,월세,400,"5,000",186,2/5,동향,37.5765,126.895047
5983,월세,100,"5,000",25,1/3,서향,37.537784,126.951798
5984,매매,0,10억,58,1/12,서향,37.581699,126.885972
5985,매매,0,13억,42,1/24,북서향,37.580069,126.889006
5986,월세,170,"2,000",52,1/4,북향,37.556319,126.90067
5987,월세,"5,000",5억,298,1/4,북서향,37.555745,126.923603
5988,월세,800,1억,66,1/2,북서향,37.554895,126.922531
5989,월세,110,"1,000",35,1/12,남동향,37.557373,126.916798
5990,월세,130,"2,000",49,B1/4,동향,37.554442,126.909548
5991,월세,90,"1,000",16,1/3,동향,37.558062,126.905027
5992,월세,240,"3,000",80,1/6,,37.545754,126.931639
5993,월세,"1,233","3억 3,075",149,1/5,남향,37.556853,126.925102
5994,월세,130,"2,000",54,B1/4,동향,37.554442,126.909548
5995,월세,500,"7,000",142,2/5,북향,37.551141,126.922479
5996,월세,"1,300",2억,82,1/3,남향,37.552473,126.92299
5997,월세,90,"1,000",19,1/3,동향,37.558062,126.905027
5998,월세,160,"2,000",81,2/4,남향,37.549216,126.910288
5999,월세,138,"1,000",33,B1/3,북향,37.556068,126.904137
6000,월세,350,"5,000",125,1/7,북서향,37.559187,126.914697
