tradeTypeName,rentPrc,dealOrWarrantPrc,area2,floorInfo,direction,latitude,longitude,flow_pop,bus_N,parking_N,cafe_N,bicycle_N,subway_N,subway_d,school_N,store_N,rest_N,day_pop,night_pop,2nPrc_str,2nPrc,평당가격,가성비,가성비_Rank,floor_estate,floor_buliding
월세,270,"3,000",116,B1/7,남향,37.545693,126.916208,6503,21,114,21,5,1,472.3483409174568,2,54,36,508151.67,471457.29,"270*24+3,000",94800000.0,817241.3793103448,0.007957257383966245,85,B1,7
월세,200,"2,000",82,3/3,,37.559124,126.926204,6595,16,159,89,5,1,226.7473828420505,2,157,94,508151.67,471457.29,"200*24+2,000",68000000.0,829268.2926829269,0.007952794117647058,86,3,3
월세,135,"1,500",45,B1/3,동향,37.556487,126.927342,8274,34,108,42,5,1,189.8066684177749,2,62,28,508151.67,471457.29,"135*24+1,500",47400000.0,1053333.3333333333,0.007855063291139242,87,B1,3
월세,260,"3,000",90,2/4,북동향,37.552378,126.916741,7940,40,171,35,5,1,418.4501195824424,0,88,58,508151.67,471457.29,"260*24+3,000",92400000.0,1026666.6666666666,0.007733766233766234,88,2,4
월세,700,1억,241,1/3,북향,37.549081,126.917181,8571,32,250,45,7,1,306.4009514284798,2,104,71,508151.67,471457.29,700*24+1억,268000000.0,1112033.195020747,0.007707503731343284,89,1,3
월세,220,"3,000",81,1/3,남향,37.5491,126.920297,7825,27,250,49,9,1,272.80050023942005,2,99,69,508151.67,471457.29,"220*24+3,000",82800000.0,1022222.2222222222,0.007654891304347826,90,1,3
월세,130,"3,000",62,1/4,동향,37.55461,126.916638,7549,42,100,27,7,0,603.5614953986251,0,52,27,508151.67,471457.29,"130*24+3,000",61200000.0,987096.7741935484,0.007647679738562092,91,1,4
월세,400,"3,000",112,2/5,남향,37.54847,126.917872,8571,31,250,46,8,2,380.72459020115696,2,101,69,508151.67,471457.29,"400*24+3,000",126000000.0,1125000.0,0.007618666666666667,92,2,5
월세,550,"5,000",148,1/4,남동향,37.553061,126.918218,9360,42,179,37,7,0,562.1142231149489,0,87,57,508151.67,471457.29,"550*24+5,000",182000000.0,1229729.7297297297,0.007611428571428572,93,1,4
월세,190,"3,500",78,B1/4,북향,37.549812,126.920767,7825,31,242,52,6,1,296.8268509809984,2,99,68,508151.67,471457.29,"190*24+3,500",80600000.0,1033333.3333333334,0.00757258064516129,94,B1,4
월세,290,"5,000",59,3/4,남동향,37.55547,126.924547,15320,40,132,44,7,1,205.10633659218223,2,74,41,508151.67,471457.29,"290*24+5,000",119600000.0,2027118.6440677966,0.00755752508361204,95,3,4
월세,190,"3,000",61,1/4,남서향,37.553655,126.918147,9360,41,122,35,6,0,606.8612449298329,0,76,45,508151.67,471457.29,"190*24+3,000",75600000.0,1239344.262295082,0.007552380952380952,96,1,4
월세,"1,683",2억,892,B1/13,서향,37.581627,126.887064,5108,35,7,0,12,0,758.2107893635872,6,4,2,508151.67,471457.29,"1,683*24+2억",603920000.0,677040.3587443946,0.007544601934030997,97,B1,13
월세,540,"5,000",158,1/3,북향,37.551059,126.917672,8571,32,244,48,6,1,389.50226077777234,2,108,79,508151.67,471457.29,"540*24+5,000",179600000.0,1136708.8607594937,0.007540189309576837,98,1,3
월세,260,"4,000",102,1/3,동향,37.551316,126.920721,7549,35,224,49,5,1,442.1938848757782,0,103,71,508151.67,471457.29,"260*24+4,000",102400000.0,1003921.568627451,0.00751951171875,99,1,3
월세,350,"5,000",280,B3/7,북향,37.552058,126.912102,3589,36,42,25,6,2,322.62679820774395,2,66,43,508151.67,471457.29,"350*24+5,000",134000000.0,478571.4285714286,0.0074994029850746265,100,B3,7
월세,371,"8,000",130,1/6,동향,37.549708,126.919447,9743,28,256,49,7,1,373.057926182587,2,103,73,508151.67,471457.29,"371*24+8,000",169040000.0,1300307.6923076923,0.007492841930903929,101,1,6
월세,250,"4,000",99,4/8,남서향,37.551192,126.92027,7549,35,237,50,7,1,448.5604033654749,0,103,73,508151.67,471457.29,"250*24+4,000",100000000.0,1010101.0101010101,0.00747351,102,4,8
월세,350,"5,000",102,2/3,북서향,37.549846,126.919587,9743,30,252,49,7,1,372.7569969406426,2,103,73,508151.67,471457.29,"350*24+5,000",134000000.0,1313725.4901960783,0.007416313432835822,103,2,3
월세,150,"2,000",55,4/5,북향,37.552099,126.920232,7549,39,211,47,5,0,539.329735920298,2,101,68,508151.67,471457.29,"150*24+2,000",56000000.0,1018181.8181818182,0.007414196428571428,104,4,5
월세,200,"3,000",100,B1/5,북향,37.55668,126.925332,5756,35,129,53,7,1,57.09549659675649,2,86,43,508151.67,471457.29,"200*24+3,000",78000000.0,780000.0,0.007379487179487179,105,B1,5
