,ARS-ID,정류소명,X좌표,Y좌표
396,14742,와우산로오거리,126.929964,37.55444232
397,14743,산울림포스트극장,126.9305964,37.55464535
398,14744,마포자이아파트,126.9460098,37.54410468
399,14745,성지빌딩,126.9457763,37.54147337
400,14746,엘지빌딩,126.953912,37.54833417
401,14747,서교동주민센터,126.9153507,37.55474033
402,14748,이랜드,126.9315366,37.54919918
403,14749,만리동고개,126.9622626,37.55161892
404,14750,한강타운.우성아파트16동앞,126.9495167,37.53593869
405,14753,공덕전철역,126.9526849,37.54328394
406,14754,남경장,126.9098198,37.54875837
407,14755,창전삼성아파트107동,126.930916,37.55084962
408,14756,와우공원입구,126.9297663,37.55332211
409,14757,염리초등학교,126.94676,37.54260289
410,14758,염리초등학교,126.9471368,37.54262649
411,14760,아현동주민센터,126.9531058,37.54711827
412,14761,우리은행서교동지점,126.9173478,37.55325944
413,14763,마포노인복지관,126.9323104,37.54952942
414,14764,공덕동주민센터,126.9602123,37.55054774
415,14765,청암대,126.9479213,37.5357713
416,14799,성서초등학교,126.9126082,37.55866259
417,14803,마포역,126.9471087,37.54074048
418,14804,창전어린이공원,126.9297205,37.55029643
419,14805,창전어린이공원,126.9293289,37.5502454
420,14808,창전삼성아파트109동,126.9302994,37.55048603
421,14809,유관순무용원,126.9289375,37.55287769
422,14810,중부여성발전센터,126.9451382,37.54121807
423,14812,재화스퀘어,126.9468983,37.54389603
424,14814,공덕전철역,126.9510177,37.54552068
425,14815,월드컵경기장입구,126.9028169,37.5624161
426,14816,월드컵경기장입구,126.9029579,37.56282351
427,14817,월드컵파크7단지,126.8804641,37.58225564
428,14818,월드컵파크7단지,126.8800983,37.58232915
429,14826,상암동입구,126.8994147,37.57378466
430,14827,상암동입구,126.8983845,37.5738247
431,14828,상암월드컵파크5단지,126.8866294,37.58070914
432,14829,상암월드컵파크5단지,126.8856985,37.58081998
433,14832,홍대입구역사거리,126.9209776,37.55452595
434,14833,창전현대홈타운,126.9327234,37.55087409
435,14834,삼우빌딩,126.957945,37.54921154
436,14835,합정역,126.9147926,37.54984878
437,14836,희성교회,126.9140807,37.55680382
438,14837,서강유치원,126.9278351,37.55208453
439,14838,마포전철역,126.9442692,37.53962092
440,14839,한국컴퓨터,126.9449341,37.54492869
441,14842,신촌연세병원.기업은행,126.9332204,37.55199173
442,14843,공덕동성당,126.9568867,37.54838123
443,14844,우리은행서교동지점,126.9175337,37.55194307
444,14845,서교동주민센터.마포신문사,126.9162481,37.55487253
445,14846,홍대후문,126.9271672,37.55129986
446,14848,대흥태영아파트,126.9430909,37.54595146
447,14849,동도중학교.서울디지인고등학교,126.9455045,37.54644639
448,14851,서부지원,126.9557826,37.54861422
449,14852,세븐일레븐,126.9559493,37.54036655
450,14853,동교로사거리,126.9198714,37.55565809
451,14855,신석초등학교,126.9388467,37.54342321
452,14856,굴다리시장,126.9417133,37.54638962
453,14858,서교동주민센터,126.9150521,37.55559976
454,14862,서교푸르지오아파트,126.9231792,37.55362727
455,14863,홍대입구역,126.9235275,37.55702474
456,14864,신수현대아파트.래미안웰스트림,126.9369441,37.54383346
457,14865,마포세무서,126.9390394,37.54729837
458,14866,대흥역사거리,126.9423208,37.5481047
459,14867,신촌역,126.9356328,37.55532442
460,14868,이대전철역,126.9447218,37.55649234
461,14869,마포경찰서,126.9554138,37.5502766
462,14870,도화현대1차아파트111동앞,126.9546582,37.54127904
463,14871,홍대정문,126.9238877,37.5529818
464,14872,동교로사거리,126.9197614,37.55586887
465,14873,한국출판콘텐츠센터,126.9355502,37.54474732
466,14874,신수세양아파트,126.9373248,37.54740921
467,14876,서교동교회,126.9192023,37.55166218
468,14877,애오개역,126.956534,37.55259464
469,14878,열린마트,126.9517597,37.54233427
470,14879,로데오거리,126.9214305,37.55081936
471,14880,서교동주민센터.마포신문사,126.9161415,37.55506619
472,14881,서강수협.신수중학교,126.9325019,37.54547551
473,14882,신수동성당.신수동주민센터,126.934707,37.54748258
474,14883,숭문중고등학교후문,126.9453442,37.55209168
475,14884,로데오거리,126.9214466,37.55064276
476,14886,가든호텔.삼성프라자,126.9491642,37.54095442
477,14887,희성교회,126.9142956,37.55687155
478,14888,광흥창역.서강동주민센터,126.9328324,37.54793659
479,14889,마포프레스티지자이아파트,126.9460687,37.5534761
480,14890,홍대정문,126.923651,37.55200396
481,14892,아현초등학교,126.9558572,37.55568701
482,14893,샛별문방구.마포전철역,126.9475548,37.54017596
483,14894,상지초등학교,126.8812657,37.57946937
484,14895,합정역,126.9149514,37.55058599
485,14896,성서초등학교,126.9128379,37.55868529
486,14897,마포소방서,126.9330793,37.55028498
487,14898,이대전철역,126.9460216,37.55591353
488,14899,홍대정문,126.9248315,37.55315091
489,14900,라사라패션직업전문학교,126.9295117,37.55412787
490,14901,사천고가앞,126.9174119,37.56691465
491,14902,S마트,126.9473463,37.53890309
492,14905,경성중고사거리,126.9161669,37.56064397
493,14906,서교푸르지오아파트,126.9233852,37.5537422
494,14907,경의선숲길공원입구,126.9190296,37.56551192
495,14908,우성아파트입구,126.947255,37.53797369
496,14910,성미약수터,126.9146652,37.5622973
497,14911,홍대입구,126.9224698,37.55453611
498,14912,공항철도.홍대입구역,126.9252621,37.55772216
499,14913,경성중고후문,126.920041,37.56436367
